"index","customer_no","account_balance","acc_bal_running_total"
11015,2,0,0
11016,3,0,0
11017,4,0,0
11018,6,0,0
11019,7,0,0
11020,8,0,0
11021,9,2.48,0
11022,10,0,0
11023,11,0,0
11024,12,0,0
11025,13,0,0
11026,14,0,0
11027,15,0,0
11028,16,0,0
11029,17,0,0
11030,18,0,0
11031,19,0,0
11032,20,0,0
11033,21,0,0
11034,22,0,0
11035,23,0,0
11036,24,0,0
11037,25,0,0
11038,26,0,0
11039,27,0,0
11040,28,0,0
11041,4235,0,0
11042,29,0,0
11043,30,0,0
11044,31,0,0
11045,32,0,0
11046,33,0,0
11047,34,0,0
11048,35,0,0
11049,36,0,0
11050,37,0,0
11051,38,0,0
11052,39,0,0
11053,40,0,0
11054,41,0,0
11055,42,8.79,0
11056,43,0,0
11057,44,0,0
11058,45,0,0
11059,46,0,0
11060,47,0,0
11061,48,0,0
11062,49,0,0
11063,50,0,0
11064,51,0,0
11065,52,0,0
11066,53,0,0
11067,54,0,0
11068,55,0,0
11069,56,0,0
11070,57,0,0
11071,58,0,0
11072,59,0,0
11073,60,0,0
11074,61,0,0
11075,62,0,0
11076,63,0,0
11077,64,0,0
11078,65,0,0
11079,66,0,0
11080,67,0,0
11081,68,0,0
11082,69,0,0
11083,70,0,0
11084,71,1.5,0
11085,72,0,0
11086,73,0,0
11087,74,0,0
11088,75,0,0
11089,76,0,0
11090,77,0,0
11091,78,0,0
11092,79,0,0
11093,80,0,0
11094,81,0,0
11095,82,0,0
11096,83,0,0
11097,84,0,0
11098,85,0,0
11099,86,0,0
11100,87,0,0
11101,88,0,0
11102,89,0,0
11103,90,0,0
11104,91,0,0
11105,92,0,0
11106,93,0,0
11107,94,0,0
11108,95,0,0
11109,96,0,0
11110,97,0,0
11111,98,0,0
11112,99,0,0
11113,100,0,0
11114,101,0,0
11115,102,0,0
11116,103,0,0
11117,104,0,0
11118,105,0,0
11119,106,0,0
11120,107,0,0
11121,108,0,0
11122,109,0,0
11123,110,0,0
11124,111,0,0
11125,112,0,0
11126,113,0,0
11127,114,0,0
11128,115,0,0
11129,116,0,0
11130,117,0,0
11131,118,0,0
11132,119,0,0
11133,120,0,0
11134,121,0,0
11135,122,0,0
11136,123,0,0
11137,124,0,0
11138,125,0,0
11139,126,0,0
11140,127,0,0
11141,128,0,0
11142,129,0,0
11143,130,0,0
11144,131,0,0
11145,132,0,0
11146,133,0,0
11147,134,0,0
11148,135,0,0
11149,136,0,0
11150,137,0,0
11151,138,0,0
11152,139,0,0
11153,140,0,0
11154,141,0,0
11155,142,0,0
11156,143,0,0
11157,144,0,0
11158,145,0,0
11159,146,0,0
11160,147,0,0
11161,148,0,0
11162,149,0,0
11163,150,0,0
11164,151,0,0
11165,152,0,0
11166,153,0,0
11167,154,0,0
11168,155,0,0
11169,156,0,0
11170,157,0,0
11171,158,0,0
11172,159,0,0
11173,160,0,0
11174,161,0,0
11175,162,0,0
11176,163,0,0
11177,164,0,0
11178,165,0,0
11179,166,0,0
11180,167,0,0
11181,168,0,0
11182,169,0,0
11183,170,0,0
11184,171,0,0
11185,172,0,0
11186,173,0,0
11187,174,0,0
11188,175,0,0
11189,176,0,0
11190,177,0,0
11191,178,0,0
11192,179,0,0
11193,180,0,0
11194,181,0,0
11195,182,0,0
11196,183,0,0
11197,184,0,0
11198,185,0,0
11199,186,0,0
11200,187,0,0
11201,188,0,0
11202,189,0,0
11203,190,0,0
11204,191,2.5,0
11205,192,0,0
11206,193,0,0
11207,194,0,0
11208,195,0,0
11209,196,0,0
11210,197,0,0
11211,198,0,0
11212,199,0,0
11213,200,0,0
11214,201,0,0
11215,202,0,0
11216,203,0,0
11217,204,0,0
11218,205,0,0
11219,206,0,0
11220,207,0,0
11221,208,0,0
11222,209,0,0
11223,210,0,0
11224,211,0,0
11225,212,0,0
11226,213,0,0
11227,214,0,0
11228,215,0,0
11229,216,0,0
11230,217,0,0
11231,218,0,0
11232,219,0,0
11233,220,0,0
11234,221,0,0
11235,222,0,0
11236,223,0,0
11237,224,0,0
11238,4004,0,0
11239,4005,0,0
11240,4006,0,0
11241,4020,0,0
11242,4007,0,0
11243,225,0,0
11244,226,0,0
11245,227,0,0
11246,228,0,0
11247,229,0,0
11248,230,0,0
11249,231,0,0
11250,232,0,0
11251,233,0,0
11252,234,0,0
11253,235,0,0
11254,236,0,0
11255,237,0,0
11256,238,0,0
11257,239,0,0
11258,240,0,0
11259,241,0,0
