"INDEX","CUSTOMER NO","Account Balance","ACCBALRUNINGTOTAL11"
11015,"2",0.0000,0.0000
11016,"3",0.0000,0.0000
11017,"4",0.0000,0.0000
11018,"6",0.0000,0.0000
11019,"7",0.0000,0.0000
11020,"8",0.0000,0.0000
11021,"9",2.4750,0.0000
11022,"10",0.0000,0.0000
11023,"11",0.0000,0.0000
11024,"12",0.0000,0.0000
11025,"13",0.0000,0.0000
11026,"14",0.0000,0.0000
11027,"15",0.0000,0.0000
11028,"16",0.0000,0.0000
11029,"17",0.0000,0.0000
11030,"18",0.0000,0.0000
11031,"19",0.0000,0.0000
11032,"20",0.0000,0.0000
11033,"21",0.0000,0.0000
11034,"22",0.0000,0.0000
11035,"23",0.0000,0.0000
11036,"24",0.0000,0.0000
11037,"25",0.0000,0.0000
11038,"26",0.0000,0.0000
11039,"27",0.0000,0.0000
11040,"28",0.0000,0.0000
11041,"4235",0.0000,0.0000
11042,"29",0.0000,0.0000
11043,"30",0.0000,0.0000
11044,"31",0.0000,0.0000
11045,"32",0.0000,0.0000
11046,"33",0.0000,0.0000
11047,"34",0.0000,0.0000
11048,"35",0.0000,0.0000
11049,"36",0.0000,0.0000
11050,"37",0.0000,0.0000
11051,"38",0.0000,0.0000
11052,"39",0.0000,0.0000
11053,"40",0.0000,0.0000
11054,"41",0.0000,0.0000
11055,"42",8.7941,0.0000
11056,"43",0.0000,0.0000
11057,"44",0.0000,0.0000
11058,"45",0.0000,0.0000
11059,"46",0.0000,0.0000
11060,"47",0.0000,0.0000
11061,"48",0.0000,0.0000
11062,"49",0.0000,0.0000
11063,"50",0.0000,0.0000
11064,"51",0.0000,0.0000
11065,"52",0.0000,0.0000
11066,"53",0.0000,0.0000
11067,"54",0.0000,0.0000
11068,"55",0.0000,0.0000
11069,"56",0.0000,0.0000
11070,"57",0.0000,0.0000
11071,"58",0.0000,0.0000
11072,"59",0.0000,0.0000
11073,"60",0.0000,0.0000
11074,"61",0.0000,0.0000
11075,"62",0.0000,0.0000
11076,"63",0.0000,0.0000
11077,"64",0.0000,0.0000
11078,"65",0.0000,0.0000
11079,"66",0.0000,0.0000
11080,"67",0.0000,0.0000
11081,"68",0.0000,0.0000
11082,"69",0.0000,0.0000
11083,"70",0.0000,0.0000
11084,"71",1.5000,0.0000
11085,"72",0.0000,0.0000
11086,"73",0.0000,0.0000
11087,"74",0.0000,0.0000
11088,"75",0.0000,0.0000
11089,"76",0.0000,0.0000
11090,"77",0.0000,0.0000
11091,"78",0.0000,0.0000
11092,"79",0.0000,0.0000
11093,"80",0.0000,0.0000
11094,"81",0.0000,0.0000
11095,"82",0.0000,0.0000
11096,"83",0.0000,0.0000
11097,"84",0.0000,0.0000
11098,"85",0.0000,0.0000
11099,"86",0.0000,0.0000
11100,"87",0.0000,0.0000
11101,"88",0.0000,0.0000
11102,"89",0.0000,0.0000
11103,"90",0.0000,0.0000
11104,"91",0.0000,0.0000
11105,"92",0.0000,0.0000
11106,"93",0.0000,0.0000
11107,"94",0.0000,0.0000
11108,"95",0.0000,0.0000
11109,"96",0.0000,0.0000
11110,"97",0.0000,0.0000
11111,"98",0.0000,0.0000
11112,"99",0.0000,0.0000
11113,"100",0.0000,0.0000
11114,"101",0.0000,0.0000
11115,"102",0.0000,0.0000
11116,"103",0.0000,0.0000
11117,"104",0.0000,0.0000
11118,"105",0.0000,0.0000
11119,"106",0.0000,0.0000
11120,"107",0.0000,0.0000
11121,"108",0.0000,0.0000
11122,"109",0.0000,0.0000
11123,"110",0.0000,0.0000
11124,"111",0.0000,0.0000
11125,"112",0.0000,0.0000
11126,"113",0.0000,0.0000
11127,"114",0.0000,0.0000
11128,"115",0.0000,0.0000
11129,"116",0.0000,0.0000
11130,"117",0.0000,0.0000
11131,"118",0.0000,0.0000
11132,"119",0.0000,0.0000
11133,"120",0.0000,0.0000
11134,"121",0.0000,0.0000
11135,"122",0.0000,0.0000
11136,"123",0.0000,0.0000
11137,"124",0.0000,0.0000
11138,"125",0.0000,0.0000
11139,"126",0.0000,0.0000
11140,"127",0.0000,0.0000
11141,"128",0.0000,0.0000
11142,"129",0.0000,0.0000
11143,"130",0.0000,0.0000
11144,"131",0.0000,0.0000
11145,"132",0.0000,0.0000
11146,"133",0.0000,0.0000
11147,"134",0.0000,0.0000
11148,"135",0.0000,0.0000
11149,"136",0.0000,0.0000
11150,"137",0.0000,0.0000
11151,"138",0.0000,0.0000
11152,"139",0.0000,0.0000
11153,"140",0.0000,0.0000
11154,"141",0.0000,0.0000
11155,"142",0.0000,0.0000
11156,"143",0.0000,0.0000
11157,"144",0.0000,0.0000
11158,"145",0.0000,0.0000
11159,"146",0.0000,0.0000
11160,"147",0.0000,0.0000
11161,"148",0.0000,0.0000
11162,"149",0.0000,0.0000
11163,"150",0.0000,0.0000
11164,"151",0.0000,0.0000
11165,"152",0.0000,0.0000
11166,"153",0.0000,0.0000
11167,"154",0.0000,0.0000
11168,"155",0.0000,0.0000
11169,"156",0.0000,0.0000
11170,"157",0.0000,0.0000
11171,"158",0.0000,0.0000
11172,"159",0.0000,0.0000
11173,"160",0.0000,0.0000
11174,"161",0.0000,0.0000
11175,"162",0.0000,0.0000
11176,"163",0.0000,0.0000
