date u_index u_change w_index w_change growth
01-12-97 165.0 x 160.6 x x
01-02-98 166.5 x 162.2 x x
01-04-98 166.4 x 161.9 x x
01-06-98 167.5 x 162.8 x x
01-08-98 168.5 x 163.8 x x
01-10-98 169.3 x 164.9 x x
01-12-98 169.4 2.7% 164.9 2.7% x
01-02-99 170.6 2.5% 166.0 2.3% x
01-04-99 172.2 3.5% 167.8 3.6% x
01-06-99 172.7 3.1% 168.0 3.2% x
01-08-99 173.4 2.9% 168.8 3.1% x
01-10-99 174.7 3.2% 170.2 3.2% 3.0%
01-12-99 174.4 3.0% 170.1 3.2% 3.1%
01-02-00 176.1 3.2% 171.6 3.4% 3.3%
01-04-00 177.8 3.3% 173.3 3.3% 3.2%
01-06-00 179.2 3.8% 174.5 3.9% 3.3%
01-08-00 180.3 4.0% 175.4 3.9% 3.5%
01-10-00 182.1 4.2% 177.5 4.3% 3.6%
01-12-00 181.5 4.1% 177.0 4.1% 3.8%
01-02-01 184.0 4.5% 179.2 4.4% 4.0%
01-04-01 184.2 3.6% 179.4 3.5% 4.0%
01-06-01 186.3 4.0% 181.3 3.9% 4.0%
01-08-01 186.8 3.6% 181.5 3.5% 3.9%
01-10-01 187.9 3.2% 183.1 3.2% 3.8%
01-12-01 186.1 2.5% 181.1 2.3% 3.5%
01-02-02 187.6 2.0% 182.5 1.8% 3.0%
01-04-02 188.8 2.5% 183.6 2.3% 2.8%
01-06-02 189.4 1.7% 184.1 1.5% 2.4%
01-08-02 190.3 1.9% 184.8 1.8% 2.2%
01-10-02 190.9 1.6% 185.5 1.3% 1.9%
01-12-02 190.0 2.1% 184.6 1.9% 1.8%
01-02-03 191.3 2.0% 186.2 2.0% 1.8%
01-04-03 192.3 1.9% 187.0 1.9% 1.7%
01-06-03 191.7 1.2% 185.7 0.9% 1.6%
01-08-03 194.4 2.2% 188.2 1.8% 1.6%
01-10-03 193.7 1.5% 187.8 1.2% 1.6%
01-12-03 191.0 0.5% 185.3 0.4% 1.4%
01-02-04 193.5 1.2% 187.8 0.9% 1.2%
01-04-04 194.3 1.0% 189.1 1.1% 1.1%
01-06-04 195.3 1.9% 190.4 2.5% 1.3%
01-08-04 194.6 0.1% 189.6 0.7% 1.1%
01-10-04 196.5 1.4% 191.6 2.0% 1.3%
01-12-04 195.1 2.1% 190.3 2.7% 1.7%
01-02-05 197.6 2.1% 192.4 2.4% 1.9%
01-04-05 201.3 3.6% 196.2 3.8% 2.4%
01-06-05 199.8 2.3% 194.8 2.3% 2.3%
01-08-05 199.9 2.7% 195.3 3.0% 2.7%
01-10-05 203.3 3.5% 198.6 3.7% 3.0%
01-12-05 200.9 3.0% 196.1 3.0% 3.0%
01-02-06 203.6 3.0% 198.0 2.9% 3.1%
01-04-06 207.4 3.0% 202.5 3.2% 3.0%
01-06-06 208.2 4.2% 203.8 4.6% 3.4%
01-08-06 209.6 4.9% 205.1 5.0% 3.7%
01-10-06 209.8 3.2% 203.9 2.7% 3.6%
01-12-06 209.3 4.2% 204.3 4.2% 3.8%
01-02-07 211.704 4.0% 205.746 3.9% 3.9%
01-04-07 215.767 4.0% 210.388 3.9% 4.0%
01-06-07 215.510 3.5% 210.550 3.3% 3.8%
01-08-07 215.978 3.0% 210.220 2.5% 3.4%
01-10-07 218.427 4.1% 213.107 4.5% 3.7%
01-12-07 218.966 4.6% 214.024 4.8% 3.8%
01-02-08 221.728 4.7% 216.332 5.1% 4.0%
01-04-08 223.196 3.4% 218.483 3.8% 4.0%
01-06-08 228.068 5.8% 223.573 6.2% 4.5%
01-08-08 227.745 5.4% 223.273 6.2% 5.1%
01-10-08 225.915 3.4% 220.687 3.6% 4.9%
01-12-08 222.580 1.7% 216.424 1.1% 4.3%
01-02-09 224.737 1.4% 218.752 1.1% 3.7%
01-04-09 225.918 1.2% 220.208 0.8% 3.1%
01-06-09 227.257 -0.4% 221.993 -0.7% 2.0%
01-08-09 227.138 -0.3% 221.873 -0.6% 0.9%
01-10-09 226.277 0.2% 221.339 0.3% 0.3%
01-12-09 225.596 1.4% 220.905 2.1% 0.5%
01-02-10 226.085 0.6% 221.215 1.1% 0.5%
01-04-10 226.513 0.3% 222.309 1.0% 0.5%
01-06-10 226.118 -0.5% 221.857 -0.1% 0.6%
01-08-10 227.645 0.2% 223.444 0.7% 0.8%
01-10-10 227.251 0.4% 223.112 0.8% 0.9%
01-12-10 226.862 0.6% 222.853 0.9% 0.7%
01-02-11 229.482 1.5% 225.790 2.1% 0.9%
01-04-11 231.314 2.1% 228.313 2.7% 1.2%
01-06-11 233.250 3.2% 230.072 3.7% 1.8%
01-08-11 233.810 2.7% 230.558 3.2% 2.2%
01-10-11 235.916 3.8% 232.697 4.3% 2.8%
