"index","preset_name","type_code","condition_code","size_code","notes","p_description","category","listprice"
2,"",2,5,5,"","Diaper Cover",3,2.99
3,"bib",2,2,5,"bib","bib",3,0.5
4,"pants",2,2,5,"","pants",1,3.99
5,"summer",2,2,5,"","shorts or short'll or summer romper",5,3.99
6,"sht sleeve shirt",2,2,5,"","shirt",1,3.99
7,"denim overalls",2,2,5,"","overalls",1,4.99
8,"overalls",2,2,5,"","overalls",1,4.99
9,"dress",2,2,5,"","dress",1,5.99
10,"party dress",2,3,5,"","nicer newer dress",5,9.99
11,"boys dress suit",2,3,5,"","dress up for boys",5,15
12,"swim diaper",2,2,1,"","swim diaper",5,3.99
13,"childrens books",2,2,5,"","book",3,0.5
14,"childrens books",2,2,5,"","childrens books",3,0.99
15,"stuffed animals",2,3,3,"good cond","large toy",3,4.99
16,"stuffed animals",2,2,2,"","small-med size toy",2,1.5
17,"shoes-dress boys",2,3,2,"","dress shoes",5,6.99
18,"shoes- dress girls",2,3,2,"","party or dress shoes",5,7.99
19,"shoe",2,2,5,"","sandal or shoe",3,4.99
20,"SWIM",2,2,5,"","swim",5,4.99
21,"onesie",2,2,5,"","underwear  type onsie",3,0.99
22,"t-pant",2,2,5,"","training pant",3,0.99
23,"Costume/dress up",2,2,5,"","Costume/dress-up/leotard",5,5.99
24,"Light Jacket/Fleece",2,2,5,"","Light Weight Jacket/ Fleece",5,8.99
25,"Jacket/Rain",2,2,5,"","Medium Weight Jacket/Rain Coat",5,9.99
26,"winter jkt.",2,2,5,"","heavy weight jkt.",5,15
27,"snow pants",2,2,5,"","o'll or snow pants, snow suits, heavy jkts",5,9.99
28,"sweatshirt",2,2,5,"","sweatshirt",1,3.99
29,"one piece or set",2,2,5,"","cotton one piece outfit or set",1,4.99
30,"tights",2,2,5,"","tights",3,1.99
31,"summer dress",2,2,5,"","summer dress",5,4.99
32,"slipper",2,2,5,"","slipper",3,2.99
33,"sox",2,2,5,"","sox",3,0.5
34,"Wool Socks",2,2,5,"","Wool Socks",3,2.99
35,"short",2,2,5,"","summer shorts print or solid",5,3.99
36,"summer shirt",2,2,5,"","summer shirt",5,3.99
37,"dress",2,2,5,"","dress",1,4.99
38,"shirt",2,1,5,"","shirt",1,2.5
39,"blankets",2,2,5,"","blankets and linens",3,1.99
40,"better blankets",2,2,5,"","better blankets",3,3.99
41,"Rain jacket",2,2,5,"","Rain Jacket",5,5.99
42,"Rain jacket Lined",2,2,5,"","Lined Rain Jacket",5,7.99
43,"Sweater",2,2,5,"","sweater",5,4.99
44,"Pajamas",2,2,5,"","pj,  night gowns,  robes",1,4.99
45,"sets",2,2,5,"","2 or 3 piece set",1,6.99
46,"summer or lt wt hat",2,2,5,"","light weight hats",5,3.99
47,"winter hat or scarf",2,2,5,"","winter hat or scarf",5,3.99
48,"under",2,2,5,"","",NA,0
49,"underwear",2,2,5,"","panties, boxers, briefs, training bras",3,0.99
50,"bloomers",2,2,5,"","bloomers",5,0.99
51,"Safety item",2,2,5,"","safety items, life jackets, pads, etc.",3,3.99
52,"booties",2,2,5,"","booties",3,1.99
53,"baby T",2,2,5,"","underwear type t",5,0.5
54,"vest",2,2,5,"","vest",1,3.99
55,"Sleep Sack",2,2,5,"","Sleep Sack",1,5.99
56,"skirt",2,2,5,"","skirt",1,4.99
57,"toy",2,2,5,"","toy,  puzzle or game",2,3.99
58,"Misc",2,2,5,"","MISC non-clothing items MISC",3,3.99
59,"BOOT",2,2,5,"","Boot",5,5.99
60,"MITTENS",2,2,5,"","Gloves, Mittens, Scarves",5,2.99
61,"DVD",2,2,5,"","CD or DVD",3,3.99
62,"slippers",2,2,5,"","slipper",3,3.99
63,"1z shirt",2,2,5,"","snap shirt-style onesie",1,3.99
64," swing",2,2,5,""," infant swing",4,25
65,"stroller",2,2,5,"","double or single stroller",4,35
66,"hi chair",2,2,5,"","hi chair",4,20
67,"car seat",2,2,5,"","car seat",4,25
68,"all in 1 diaper",2,2,5,"","All in one diaper",3,7.99
69,"sale",1,4,5,"","sale",1,4.99
70,"heavy winter  jkt",2,2,5,"","heavy jacket",5,15
71,"sandals/ water shoes",2,2,5,"","sandals/ water shoes",5,4.99
72,"Clothing Misc",2,2,5,"","belts, ties, suspenders, etc.",3,1.99
73,"Clothing Misc.",2,2,5,"","ties, belts, suspenders",1,1.99
74,"hair item/jewelry",2,2,5,"","hair item/jewelry/sunglasses/goggles",3,0.99
75,"robeez",1,2,5,"","Robeez footwear",3,23.99
76,"skivvy doodles",1,2,5,"","short sleeve crop  pant",5,29.99
77,"skivvy doodles",1,2,5,"","tank top pant and bag",5,29.95
78,"skivvy doodles",1,2,5,"","long legs long sleeve",3,29.95
79,"Kids Konserve",1,4,5,"","Kids Konserve",3,19.95
80,"GYMBOREE",2,2,5,"","GYMBOREE",1,5.99
81,"CAKEWALK",2,2,5,"","CAKEWALK",1,9.99
82,"HANNA ANDERSON",2,2,5,"","HANNA ANDERSON",1,6.99
83,"ELEFANTEN",2,2,5,"","ELEFANTEN SHOES",3,8.99
84,"big bellies bibs",1,2,5,"","big bellies bibs",3,11.95
85,"diaper rash cream",1,2,5,"","california baby diaper rash cream",3,11.99
86,"50%  off sale",1,2,5,"","Sale 50 % off",3,4.99
87,"diaper all in one",2,2,5,"","diaper all in one",3,7.99
88,"tic tac toe",1,2,5,"","tic tac toe socks",3,4.5
89,"painting red rhino",1,2,5,"","painting red rhino fall",1,38.95
90,"TIC TAC TOE",1,2,5,"","TIC TAC TOE",3,3.5
91,"Laarni #538",1,2,5,"","Laarni  booties",3,11.95
92,"skivvy doodle fall",1,2,5,"","new style  fall",3,29.95
93,"SKIVVY",1,2,5,"","LONG SLEEVE GOWN",3,29.95
94,"hat",2,2,5,"","hat",5,1.99
95,"zutano",1,2,5,"","zutano",3,21.95
96,"MP TIGHTS",1,2,5,"","MP TIGHTS",3,19.95
97,"cd rom",2,2,5,"","cd rom",3,1.99
98,"purse",1,2,5,"","beaded purse",3,8.95
99,"velor hat",1,2,5,"","velour hats",3,14.95
100,"HAT",1,2,5,"","LAARNI HATS",5,16
101,"underoos",1,2,5,"","fruit of the loom underoos",3,6.95
102,"",1,2,5,"","Bubble Fun",3,29.99
103,"Rich Frog",1,2,5,"","Rich Frog",3,7.5
104,"",1,2,5,"","BURT'S BEES",3,9.95
105,"baby legs",1,2,5,"","Baby legs",3,8.99
106,"eeboo",1,2,5,"","eeboo",3,4.99
107,"Dishes",2,2,5,"","Dishes",3,1.99
108,"lime apple",1,2,5,"","Limeapple",5,49.99
109,"",1,2,5,"","",NA,NA
110,"sale",1,2,5,"","50% off",1,4.95
111,"sale",1,2,5,"sale","sale winter 2003",1,4.95
112,"Belts",2,2,5,"","belts",3,0.99
113,"",2,2,5,"","summer sale 70% off",1,9.95
114,"",1,2,5,"","l'amour sandals",3,15.95
115,"burp cloths",2,2,5,"","",3,0.5
116,"burp cloth",2,2,5,"","burp cloth",3,0.5
117,"Wayi",1,2,5,"","Wayi",3,24.99
118,"pattern",2,2,5,"","costume pattern",3,0.95
119,"",1,2,5,"","K. C. Parker",1,46
120,"",1,2,5,"","NEW ITEM 2007________________________",3,1.95
121,"NEW 2007",1,2,5,"","NEW ITEM 2007___________________________",3,0.95
122," CLEARANCE",1,2,5,"","CLEARANCE 70% 0FF",5,3.95
123,"",1,2,5,"","sale 50% off",3,4.95
124,"roo bibs",1,2,5,"","roo bibs",3,4.99
125,"bottles, cups, etc.",2,2,5,"","bottles, cups, spoons, bowls, etc.",3,1.99
126,"Melissa & Doug",1,2,5,"","Melissa & Doug",3,1.99
127,"Melissa & Doug",1,2,5,"","Melissa & Doug",3,1.99
128,"",1,2,5,"","new Item 2007-2008____________________",3,29.95
129,"",2,2,5,"","",NA,0
130,"California Baby",1,2,5,"","California Baby",3,9.99
131,"hat",2,2,5,"","hat",1,1.95
132,"hat",1,2,5,"","hat",1,12.99
133,"Burt's Bees",1,2,5,"","Burt's",3,2.99
134,"Burt's Bees Organics",1,4,5,"","Burt's Bees Organic Cottons",1,11.99
135,"monkeyroos",1,2,5,"","Monkeyroos",3,2.99
136,"",1,2,5,"","Clearance Sale",3,2.49
137,"Sale",3,2,5,"","sale 50% 0ff",3,4.99
138,"",1,2,5,"","Classroom Lullabies and Nursery Rhymes",3,10
139,"new cd",1,2,5,"","Classroom  Lullabies & Nusery Rhymes",3,10
140,"new cd",1,2,5,"","Classroom Lullabies and Nursery Rymes",3,10
141,"sunglasses/ goggles",2,2,5,"","sunglasses/ goggles",NA,1.99
142,"soxpenders",1,2,5,"","soxpenders",NA,6.99
143,"Mary Meyer",1,2,5,"","Mary Meyer",3,11.99
144,"limeapple",1,2,5,"","limeapple",3,29.99
145,"Rich Frog",1,2,5,"","Rich Frog",3,6.99
146,"Columbia",1,4,5,"","New Columbia",5,36
147,"ergo",1,2,5,"","Ergo products",3,24.99
148,"aden+anais",1,4,5,"","aden+anais",NA,21.99
149,"huggalugs",1,2,5,"","huggalugs",3,11.99
150,"sugar booger",1,2,5,"","Sugar Booger",3,14.99
151,"Western Chief",1,2,5,"Western Chief Boots","Western Chief Boots",5,22.99
152,"Prince lionheart",1,2,5,"","Prince Lionheart",3,24.99
153,"Melissa and doug",1,2,5,"","Melissa and Doug",5,12.99
154,"Under the Nil",2,2,5,"","",NA,0
155,"Under the Nile",1,4,5,"Under the Nile","Under the Nile",3,28.99
156,"Kamik",1,2,5,"Kamik Boots","Kamik Boots",NA,34.99
157,"I Play",1,2,5,"","I Play",3,7.99
158,"angel dear",1,2,5,"","angel dear",3,11.99
159,"Lite Wrap",1,4,5,"Lite Wrap","Lite Wrap",3,8.5
160,"Hatley",1,4,5,"Hatley","Hatley",1,39.99
161,"hand knit hat",1,2,5,"","hand knit hat",3,8.99
162,"hand knit mittens",1,2,5,"","hand knit mittens",3,8.99
163,"Envirosax",1,2,5,"Envirosax","Envirosax",3,8.99
164,"Sugar Booger",1,2,5,"Sugar Booger","Sugar Booger",3,9.99
165,"episencial",1,2,5,"episencial","episencial",3,9.99
166,"Downeast",1,2,5,"DOWNEAST","Downeast",1,14.99
167,"Keepin' Fresh",1,4,5,"Keepin' Fresh","Keepin' Fresh",NA,16.99
168,"baby banz",1,2,5,"","baby banz salesman samples",5,9.99
169,"Kids Basix",1,2,5,"","Kids Basix",3,9.99
170,"Kid Basix",1,2,5,"","Kid Basix",3,9.99
171,"pb n j  baby",1,2,5,"","pb nj baby",3,4.5
