"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD5966",NA,"pj,  night gowns,  robes"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD5945",NA,"pants"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD5942",NA,"cotton one piece outfit or set"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD456",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD5943",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"wd5964",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"wd1126",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"wd5924",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"wd246",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"wd992",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"wd349",NA,"overalls"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"wd5955",NA,"overalls"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD6273",NA,"pj,  night gowns,  robes"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD589",NA,"cotton one piece outfit or set"
1,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD767",NA,"cotton one piece outfit or set"
2,"01/17/2004 12:00:00 AM","1074326400","ERI",2,"WD6485",NA,"toy,  puzzle or game"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6371",NA,"sweat shirt"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6387",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6400",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6391",NA,"sweat shirt"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6360",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6372",NA,"pants"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6368",NA,"pants"
3,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6364",NA,"tights"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6362",NA,"shirt"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6350",NA,"pj,  night gowns,  robes"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6370",NA,"pants"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6374",NA,"pj,  night gowns,  robes"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6358",NA,"pants"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6326",600,"pants"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6390",NA,"pj,  night gowns,  robes"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6398",NA,"pj,  night gowns,  robes"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6354",NA,"pj,  night gowns,  robes"
1,"01/17/2004 12:00:00 AM","1074326400","LEA",2,"WD6342",NA,"pj,  night gowns,  robes"
