|Index|,|Quanity|,|Quanity_sold_latest|,|Customer_No_product|,|Customer_No_Sold|,|Quick_Scancode|,|Product_scancode|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Date_In|,|Date_sold|,|Clerk_ID_In|,|Clerk_ID_sold|,|void|,|Catagorie|,|Listprice|,|REDUCTION|,|Soldprice|,|Invoice#|,|Sale_price|,|Sale_item|,|No_Returned|,|Credit_Applied|
1975,238,2,|999|,|600|,|c13913c|,|cb|,1,|5|,|5|,|Kids Own Cotton Basics|,|Cotton Basics Shirts or Leggings|,|08/15/1999 12:00:00 AM|,|03/06/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,7.9500,0,7.9500,|12459|,,0,0,0.0000
1976,143,1,|500|,|2612|,|c13913c|,|cbsh|,1,|5|,|5|,|Kids on 45th Own Cotton Basics|,|Cotton Basics Tops (Short Sleeve)|,|08/15/1999 12:00:00 AM|,|03/05/2000 12:00:00 AM|,|SUE|,|ANN|,0,|1|,6.9500,20,5.5600,|12427|,,0,0,0.0000
1983,3,1,|500|,|2680|,|c13913c|,|n0002|,1,|5|,|5|,,|Wipette Raincoat|,|08/15/1999 12:00:00 AM|,|01/03/2000 12:00:00 AM|,|LUD|,|ANN|,0,|1|,23.9500,20,19.1600,|8831|,,0,0,0.0000
1984,1,1,|500|,|600|,|c13913c|,|n0004|,1,|5|,|5|,,|Wipette Raincoat|,|08/15/1999 12:00:00 AM|,|01/25/2000 12:00:00 AM|,|LUD|,|KRI|,0,|1|,29.9500,0,29.9500,|10244|,,0,0,0.0000
1987,2,1,|500|,|600|,|c13913c|,|n0005|,1,|5|,|5|,,|Wipette Raincoat|,|08/15/1999 12:00:00 AM|,|12/20/1999 12:00:00 AM|,|LUD|,|LRN|,0,|1|,18.9500,0,18.9500,|8332|,,0,0,0.0000
1990,1885,2,|500|,|2956|,|c13913c|,|Mag1|,1,|5|,|5|,,|Letter Magnets|,|08/15/1999 12:00:00 AM|,|03/02/2000 12:00:00 AM|,|LUD|,|SUE|,0,|3|,1.9500,20,1.5600,|12274|,,0,0,0.0000
2024,48,1,|500|,|600|,|c13913c|,|POTTY1|,1,|5|,|5|,,|Bjorn basic potty|,|08/15/1999 12:00:00 AM|,|02/14/2000 12:00:00 AM|,|LUD|,|SUE|,0,|3|,9.9500,0,9.9500,|11355|,,0,0,0.0000
2036,50,0,|500|,|123|,|c13913c|,|POTTY2|,1,|4|,|5|,,|Bjorn large potty|,|08/15/1999 12:00:00 AM|,|12/18/1999 12:00:00 AM|,|LUD|,|KRI|,0,|3|,10.9500,0,10.9500,|0|,,0,0,0.0000
2570,26,1,|500|,|600|,|c13913c|,|p5541|,1,|4|,|5|,|NEW|,|LeTop Turtleneck clearance|,|08/19/1999 12:00:00 AM|,|02/18/2000 12:00:00 AM|,|YOS|,|BAK|,0,|1|,9.5000,50,4.7500,|11621|,|4.75|,1,0,0.0000
2952,8,0,|500|,,|c13913c|,|0730838143579|,1,|5|,|5|,,|6-71/2 SOCK MC TAN|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.0000,0,0.0000,,,0,0,0.0000
2953,16,0,|500|,,|c13913c|,|0730838143586|,1,|4|,|5|,,|6-71/2 LT BLUE SOX MC or 5-61/2|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.0000,0,0.0000,,,0,0,0.0000
2955,12,0,|500|,,|c13913c|,|0730838143593|,1,|4|,|5|,,|7-81/2 sox navy, ecru, lt blue|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.5000,0,0.0000,,,0,0,0.0000
2958,12,0,|500|,,|c13913c|,|0730838143609|,1,|4|,|5|,,|mc sux 8-91/2|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.5000,0,0.0000,,,0,0,0.0000
2974,75,1,|999|,|4020|,|c13913c|,|pNW009|,1,|4|,|5|,,|NEW|,|08/20/1999 12:00:00 AM|,|02/22/2000 12:00:00 AM|,|LUD|,|YOS|,0,|3|,16.9500,20,13.5600,|11768|,,0,0,0.0000
3224,54,1,|999|,|600|,|c13913c|,|pNW011|,1,|4|,|5|,,|tic tac toe cotton tights|,|08/21/1999 12:00:00 AM|,|02/29/2000 12:00:00 AM|,|LUD|,|ANE|,0,|1|,8.9500,0,8.9500,|12164|,,0,0,0.0000
3225,9831,1,|500|,|600|,|c13913c|,|pNW010|,1,|4|,|5|,,|tic tac toe print socks|,|08/21/1999 12:00:00 AM|,|03/04/2000 12:00:00 AM|,|LUD|,|ANE|,0,|1|,3.9500,0,3.9500,|12366|,,0,0,0.0000
3226,9930,1,|500|,|600|,|c13913c|,|pNW012|,1,|4|,|5|,,|tic tac toe plain socks|,|08/21/1999 12:00:00 AM|,|02/26/2000 12:00:00 AM|,|LUD|,|BAK|,0,|1|,3.5000,0,3.5000,|12003|,,0,0,0.0000
3227,943,1,|500|,|600|,|c13913c|,|pNW013|,1,|4|,|5|,,|new|,|08/21/1999 12:00:00 AM|,|02/21/2000 12:00:00 AM|,|LUD|,|LRN|,0,|1|,4.5000,0,4.5000,|11761|,,0,0,0.0000
3228,77,1,|500|,|4174|,|c13913c|,|pNW014|,1,|4|,|5|,,|Robeez|,|08/21/1999 12:00:00 AM|,|02/08/2000 12:00:00 AM|,|LUD|,|ANN|,0,|1|,21.9500,20,17.5600,|11045|,,0,0,0.0000
